id,date,total,val
a,1985-02-04,-0.4524634484707701,-649.0783977705491
b,1985-02-04,-0.672943107483635,-1424.9463028102816
c,1985-02-04,0.3668189758186709,-1421.860283247524
d,1985-02-04,1.6416681063599883,1060.8792953769305
e,1985-02-04,1.407744884176246,1079.8936416348201
f,1985-02-04,-0.14130910217679418,-674.1947745481401
g,1985-02-04,-0.744745195350918,602.8517858772699
h,1985-02-04,0.3449280121948465,2248.2610066722264
i,1985-02-04,0.0976861159418648,-348.98255114014665
j,1985-02-04,0.5291101333035919,-1292.811229246722
a,1985-02-05,0.6148064765375546,-231.70894953252747
b,1985-02-05,0.29095954218459974,-2204.9144438241915
c,1985-02-05,0.1342378406013036,-450.89395162740897
d,1985-02-05,-0.45627298485285406,-750.3480689565433
e,1985-02-05,0.27520829222876886,1341.8709949980948
f,1985-02-05,0.13823723686914985,-947.0241840790803
g,1985-02-05,-0.5979616274716805,905.3366708087716
h,1985-02-05,-0.3003926842138616,482.03311329593265
i,1985-02-05,-0.5240700604966261,633.162221144375
j,1985-02-05,-1.3984029069990433,-1271.2729436908103
a,1985-02-06,-0.13143132308737357,-1584.9384234567651
b,1985-02-06,-0.24967621583810726,-338.10798946133366
c,1985-02-06,0.25471302523379263,198.0511176593064
d,1985-02-06,-0.10402516766093059,979.1066996776837
e,1985-02-06,0.49090821822634784,-556.736716207008
f,1985-02-06,-0.3182535741466912,275.6214759270447
g,1985-02-06,-0.49689807097640437,2866.7653998485584
h,1985-02-06,-0.21257722083018796,553.1641441481376
i,1985-02-06,0.09370990055857673,408.7453888515064
j,1985-02-06,1.1631073706210182,-189.60936103902083
a,1985-02-07,-0.43278338160158886,600.1573579366296
b,1985-02-07,-0.02663323341776287,-277.575893014206
c,1985-02-07,-0.8132743858294319,-308.3297277271195
d,1985-02-07,1.49387996694415,-1425.892251500988
e,1985-02-07,-0.6062315036000964,58.525183781826044
f,1985-02-07,-0.3764118800233288,482.21199637269086
g,1985-02-07,0.5822552388574681,487.44305003154625
h,1985-02-07,-1.065257051407424,-553.4591129601159
i,1985-02-07,0.3175502165667634,77.23840464826677
j,1985-02-07,0.6228719364110163,27.789788903753262
a,1985-02-08,0.3609399264096939,951.5817198040756
b,1985-02-08,1.0599227711155574,120.99089512571327
c,1985-02-08,1.550864598136741,-1064.2923871840762
d,1985-02-08,-2.2773017855525923,40.95519287489868
e,1985-02-08,0.738994223473779,-566.729098189224
f,1985-02-08,-0.04961954939419304,-433.8039790462179
g,1985-02-08,1.773442573835527,322.0226930477613
h,1985-02-08,-0.2598359041450155,-353.9862349026606
i,1985-02-08,-0.422811402526128,820.6883999807812
j,1985-02-08,0.5048130530305684,-246.46972392380985
a,1985-02-09,0.1983415707716818,-1404.6672443567363
b,1985-02-09,-0.8884266046447904,-1042.2935110554492
c,1985-02-09,-1.5942387198181847,-850.6160556753944
d,1985-02-09,-0.8197135182188806,369.67368071640834
e,1985-02-09,0.42572788430655284,1448.7721936407963
f,1985-02-09,0.10888474204542688,45.91806997012283
g,1985-02-09,0.0626153192333269,-831.0273962413564
h,1985-02-09,0.9015454715262831,876.3677916236405
i,1985-02-09,-0.6134056364735181,786.6402701653565
j,1985-02-09,-0.8832919406950352,1346.9697847898137
a,1985-02-10,-0.04507836391279241,-927.1938804192322
b,1985-02-10,-0.17329221641293552,-691.9108040094848
c,1985-02-10,-1.120999132557854,2203.435671220039
d,1985-02-10,0.15671905280038284,-1759.184699457149
e,1985-02-10,0.5282705164501389,-755.7807284949974
f,1985-02-10,0.40557478407231956,-192.86561295119682
g,1985-02-10,0.6064604880844773,380.27008150359677
h,1985-02-10,0.10394441218306927,361.37412599284414
i,1985-02-10,0.33721020691041614,-577.6712202286511
j,1985-02-10,-0.10067183992678164,558.6020842937437
a,1985-02-11,1.0235854763374939,-217.81202426884178
b,1985-02-11,-0.9039473812159826,-1455.121670041362
c,1985-02-11,-0.1744721603327627,-1148.8804307226405
d,1985-02-11,0.6592416415126608,-1353.5653955605505
e,1985-02-11,-0.7913038493499146,-1066.855299851787
f,1985-02-11,0.13894468285961714,294.49483830584296
g,1985-02-11,-0.056484101364928756,-1178.4389229089766
h,1985-02-11,2.0196960721446557,692.4177840440423
i,1985-02-11,0.6871306726995001,46.540226310394196
j,1985-02-11,-0.2979800497483462,1338.9042567468002
a,1985-02-12,0.554766253488697,736.1386620117564
b,1985-02-12,0.3233496257109454,740.8597697568293
c,1985-02-12,0.5242402767750274,-456.5614447814467
d,1985-02-12,0.1845140878041898,907.5439590720356
e,1985-02-12,0.2417206543703696,725.4449607574179
f,1985-02-12,0.3808600645473328,-438.9510394040485
g,1985-02-12,0.781423607036956,-1081.286807637865
h,1985-02-12,1.6727393900570835,-1168.907623643342
i,1985-02-12,1.1056228457415276,453.63224368257613
j,1985-02-12,-1.6766058191668716,700.4130873886046
a,1985-02-13,-1.1247517769049558,596.1970657381144
b,1985-02-13,-0.9948649223422942,-1237.4603831898462
c,1985-02-13,-0.13516865820836077,-256.8833341299549
d,1985-02-13,-0.9240839915345364,-1291.951139871453
e,1985-02-13,-0.3494474053171634,-965.5603642421131
f,1985-02-13,0.38606558839743477,1353.3234606714664
g,1985-02-13,-0.19671554457181456,588.0355750190013
h,1985-02-13,-0.3935385708260106,-917.3008982492161
i,1985-02-13,-1.0125943328850242,151.8075077271728
j,1985-02-13,0.8455083696905779,187.90804995486658
a,1985-02-14,-0.15997507893223126,709.345635017437
b,1985-02-14,1.4027860175817397,1184.878861031963
c,1985-02-14,0.8812993429965502,-270.219360645496
d,1985-02-14,-2.1143646538934173,119.05630840068996
e,1985-02-14,-0.9323397185163869,396.34609942697546
f,1985-02-14,1.8198383988331512,-1268.24470883006
g,1985-02-14,-1.5545329278271247,670.155271727115
h,1985-02-14,-0.31995969438389854,186.9243723367391
i,1985-02-14,-0.2568812968866013,-364.3170539422058
j,1985-02-14,-2.169791607617718,273.5353383474788
a,1985-02-15,1.4879607409700317,-988.2701479087686
b,1985-02-15,-0.4878626317316059,-1014.1004455574423
c,1985-02-15,-0.17614657028606967,434.4341428447468
d,1985-02-15,-0.03972780927911479,326.0826662162634
e,1985-02-15,0.491146046274068,382.2574396755282
f,1985-02-15,0.11354036351060094,-129.0685803378805
g,1985-02-15,1.1683313502514823,1039.9276638627102
h,1985-02-15,0.047529182817176364,54.1737846286438
i,1985-02-15,0.34645346761397594,1006.0856416678891
j,1985-02-15,-0.02196735892243861,803.4858151387355
a,1985-02-16,1.8173168140632607,-1401.0470860029093
b,1985-02-16,-0.01077510384112176,-1364.878825657967
c,1985-02-16,0.9405679226961323,-132.1169608664435
d,1985-02-16,-0.09451554809972118,-1267.6632899761146
e,1985-02-16,1.9734625729669653,794.1381421127345
f,1985-02-16,0.16332387639810678,1299.948419329685
g,1985-02-16,-0.402775602690177,1002.3632278406931
h,1985-02-16,0.8580045752890665,1256.1711248714646
i,1985-02-16,-0.5999154653122625,-934.6438065877279
j,1985-02-16,1.7178722759489824,922.0487015583515
a,1985-02-17,1.3547998967591899,-288.74442696888696
b,1985-02-17,0.0661499972345624,1160.711876353049
c,1985-02-17,-0.22779945013084824,-895.5706811069167
d,1985-02-17,-0.869691009917065,-2804.634966183101
e,1985-02-17,-1.0683338578687642,706.1049383838867
f,1985-02-17,-0.8989441185032998,-580.0650069518542
g,1985-02-17,0.2597307835820644,-981.0969331580966
h,1985-02-17,-0.3584735937535524,126.78241106014046
i,1985-02-17,-0.05692376513536845,280.8454490705809
j,1985-02-17,0.2976824239712033,1417.1982338883715
a,1985-02-18,0.31410597550306424,603.217538674283
b,1985-02-18,-0.9686702880141839,-274.16946372698436
c,1985-02-18,1.3419950028261094,1195.4803022606507
d,1985-02-18,0.1630302033767232,-1684.6602260972757
e,1985-02-18,0.2237856091379811,-973.7545943922079
f,1985-02-18,0.4708968233508496,556.5521731162627
g,1985-02-18,1.5343689244725423,764.8110381051426
h,1985-02-18,0.7465980274226841,-240.23368736384282
i,1985-02-18,-1.6704987941456302,741.9331047468379
j,1985-02-18,-2.5221370040676225,-944.3135443867632
a,1985-02-19,0.06391127630629097,2576.1591261739327
b,1985-02-19,2.099924488364452,-1451.0501928016495
c,1985-02-19,1.6213525305639367,1671.1999683231918
d,1985-02-19,-0.3997074107564861,977.5346957250648
e,1985-02-19,-0.43411709911350943,1292.1088665193972
f,1985-02-19,-0.45667697607236124,-1271.446125863612
g,1985-02-19,-1.8231438883064321,-454.3948225978309
h,1985-02-19,0.29872468050487105,981.8214137218018
i,1985-02-19,1.582030222100741,201.30480646695432
j,1985-02-19,-0.93191051386657,1489.1561187675609
a,1985-02-20,-1.3696816019384521,45.62518605853244
b,1985-02-20,-1.1419534004087821,518.7949933779693
c,1985-02-20,-1.973296408724193,703.8838677316678
